,ar_1_food_h_3,ar_1_energy_h_3,ar_1_neig_h_3,ar_1_services_h_3
2016-01-31,1.7724172977406174,-6.639044318953699,1.3240650975059949,2.8284989748585976
2016-02-29,1.9297764041703536,-5.707176735965856,0.9977045652199984,1.1732329429687571
2016-03-31,1.5375268885294726,-4.823587450851702,0.6749179163139548,1.370207665768478
2016-04-30,1.378060273653678,-4.1651620763009065,1.0924974926416746,1.2442272481404373
2016-05-31,1.2962470326002105,-6.528664537504908,0.924911781467168,1.1001707591958567
2016-06-30,1.526606068802448,-6.83625221793801,0.7528220565717862,1.5741328022167682
2016-07-31,1.3669395820933314,-6.478131748935256,0.993268357887095,0.7562483192193945
2016-08-31,1.1371119565130126,-6.091299327309012,1.0757760184722227,1.0227344292787726
2016-09-30,1.1391783387609904,-4.7611161685061525,0.8364729575249592,1.1547842629201357
2016-10-31,1.603675853733177,-5.270157469794062,0.8416262489207917,1.4751387222399046
2016-11-30,1.3733941192209642,-4.322825944295903,0.6754882012372038,1.2758681560240557
2016-12-31,1.3706168241026182,-2.4022006497435844,0.7496149665826959,1.283675634575295
2017-01-31,1.0605027479862397,-0.6536164234859972,0.7464395672061623,1.2186953988797504
2017-02-28,1.595623786650867,-1.579962962603866,0.9079039095635776,1.234257574802971
2017-03-31,2.2899199866194815,2.5226753377267146,1.0738460147158373,1.3587313593882844
2017-04-30,2.592686918521699,5.416049513512624,0.9183481092609674,1.0995484075886617
2017-05-31,3.347226821551257,6.451140666238767,0.9977045652199984,1.1621794078624923
2017-06-30,2.1197083267477184,4.7939492752580355,1.3083987979599008,0.7540991857952734
2017-07-31,1.810307836165616,4.664914747817865,1.0633669499854104,1.6954002833580002
2017-08-31,2.1180577055759744,2.175795986832277,1.144093202720379,1.151476083769508
2017-09-30,2.4276357920323384,0.4424809766975756,1.1513029877150602,1.8098689205411993
2017-10-31,2.345843427276494,1.2211482674542935,1.158613709699667,1.6556502648846732
2017-11-30,2.658286875079797,2.2753904558192053,1.2361260414297632,1.7217959213487188
2017-12-31,2.6517335416945063,2.785210736862567,1.1430713514199369,1.6025720196816842
2018-01-31,3.183758756641311,1.5557761907169103,0.979364762198996,1.210799519891266
2018-02-28,2.55903895242366,3.5569369317538966,0.979364762198996,1.42770407561125
2018-03-31,2.6216580422140976,1.5441582787672978,0.982799607196746,1.4137814128728048
2018-04-30,2.683549003053459,1.1153766269696337,0.9102901750356416,1.3639908525635205
2018-05-31,1.6241590279308409,0.6118424906501743,0.988002887242842,1.4899087418775625
2018-06-30,2.679224206296632,0.8661040786475109,0.5804749178795592,1.885685094012744
2018-07-31,2.9767702231665636,1.533822172880378,0.5795526962921944,1.1462505905728393
2018-08-31,2.9743266085352724,4.779091507515551,0.5007796023719838,2.1984369454348704
2018-09-30,2.8976448103792496,5.92893310521175,0.7414236814458874,1.394967658181041
2018-10-31,2.5224249083892483,6.0261025253448794,0.4263611908402632,1.8910050674709935
2018-11-30,2.374225206345162,6.345462286018478,0.5842000764644728,1.635646341474918
2018-12-31,2.664218283255638,6.949834232796142,0.8938787967403565,1.5197527658305474
2019-01-31,2.1356632813944247,7.886840412852027,0.8915888898616909,2.0498921894171307
2019-02-28,2.0622704900195443,8.290730683944824,0.8915888898616909,1.2158043294843597
2019-03-31,1.5412164545713023,4.710040178582641,0.9734181658932471,1.2704932994377407
2019-04-30,1.3167324171831396,2.6939229040302597,1.0614860201580325,1.885685094012744
2019-05-31,1.678858807771083,3.204548579523021,1.1369822786365091,1.606952941939534
2019-06-30,1.387387904670032,4.314914844020695,0.7346539384435498,1.2697314323581044
2019-07-31,1.2398314196313145,4.585212985695791,1.12501633696138,2.1197846264616187
2019-08-31,1.4549434250034123,3.9237240996931426,1.2043943114383755,0.9359731973977408
2019-09-30,1.5268944496627963,2.5394434313490546,1.1299681959311842,1.574910400449154
2019-10-31,1.9628528626787,2.460877916709596,1.37967664928706,0.799191967122813
2019-11-30,2.1825684488144605,1.0874662290187134,0.9768062559543412,0.9886580179465604
2019-12-31,1.6685123394685617,-0.4909009069730076,0.8083589373032165,1.31330431329997
2020-01-31,1.5248790147983844,-1.25777014222629,0.8063374825351268,1.377746130528191
2020-02-29,1.8853046939941145,-2.7519784956658215,0.961764893593825,2.1261645192427534
2020-03-31,2.0290722554163216,0.60771698876718,1.120112183762014,1.842634231873649
2020-04-30,2.3812626223640145,3.2877749897611284,0.9717339986762976,1.400264658669023
2020-05-31,2.8000074828388177,2.3102671609621943,0.8110724568565287,1.5237420349090889
2020-06-30,2.804375873559468,-0.1155047255212438,1.119137017206686,1.389731718217427
2020-07-31,3.512849423162089,-4.048761254217971,0.7256519335820887,1.3794388447846648
2020-08-31,3.430507293213396,-6.227200993871419,0.7256519335820887,1.3794388447846648
2020-09-30,3.4987109529434974,-4.341088214874022,0.6509100714764107,1.4315509994968298
2020-10-31,1.5090225300141913,-4.743817578538841,-0.5196103005770382,1.4201652293160545
2020-11-30,1.3666579305913966,-4.3926886774313765,-0.5190043775273889,1.2341314615460386
2020-12-31,1.2252688766191997,-4.948263745699202,-0.7430377698237527,1.1776011056494182
2021-01-31,1.5808245915345769,-4.868895878803797,-0.7406093358163303,0.9263032761378508
2021-02-28,1.3649716391220088,-5.589099955453516,-0.8158991842183136,0.8706656013008146
2021-03-31,0.9406780884956446,-4.402188306287575,-1.2016486139017244,0.9929173332067882
2021-04-30,1.984544790888649,-1.2781997614328928,0.9625868654792256,2.1606864065742237
2021-05-31,1.692666504678381,0.6867020264598711,1.037690364288364,1.8271653859719672
2021-06-30,1.9027899379508717,4.2580963422507825,0.4914196815164556,1.8233531585459528
2021-07-31,2.0243312574015064,6.794638783884103,0.4139348821297722,1.4936075374649247
2021-08-31,1.6099099430031307,8.394338436491237,0.7977108188283462,1.7453764032079964
2021-09-30,1.4031029351867177,7.956854915606708,1.4192227651688023,1.1078026104497478
2021-10-31,3.3790783584988917,9.775285439591087,3.1850592359770133,0.9776424579439256
2021-11-30,3.4516006969544786,10.488461087313905,3.1820590945508815,1.287515087502307
2021-12-31,3.597041310199356,11.750686304903796,3.2304649998001613,1.668039068754051
2022-01-31,3.4488747698971456,15.476115840586374,3.2993093836836773,1.9845100284769848
2022-02-28,3.655353183670969,18.292135828779433,3.529605063604127,3.032857948879931
2022-03-31,4.506871510100572,15.414727763500116,4.175384449709962,2.6225636253409013
2022-04-30,3.803699091066024,17.47060588460381,2.64706534690023,2.308441338451457
2022-05-31,3.987110105228489,18.967538935713957,2.867481742645862,2.3016495052214125
2022-06-30,4.528034669208673,31.48024194120834,3.704169071687388,2.359004516973064
2022-07-31,5.620122261246088,28.947051752929315,4.312489000524374,2.5949510291157365
2022-08-31,7.182799426609201,31.412409918229727,4.673234026809913,2.525408231732603
2022-09-30,8.06504181051654,31.30721389038732,4.664658778182599,1.656126532606596
2022-10-31,9.322511236796672,29.85374492781092,4.82100998077425,1.6444518147851237
2022-11-30,10.3310205728222,30.04774207581712,5.044470831966911,1.6434020235427955
2022-12-31,11.54123177605284,36.96856677474147,5.294737324655647,2.9309122359836333
